wins,losses,draws,height_cm,weight_kg,reach_in_cm,sig_strikes_landed_min,sig_strike_acc,sig_strikes_absorbed_min,sig_strike_def,avg_takedowns_landed_15_min,takedown_acc,takedown_def,avg_sub_attempt_15_min
15,3,0,180.34,65.77,190.5,7.4,52,6.78,56,0.43,44,91,7.4
25,4,0,180.34,70.31,177.8,7.35,60,7.5,53,0.13,25,75,7.35
11,4,0,170.18,70.31,170.18,7.33,33,8.67,64,0.0,0,0,7.33
12,1,0,193.04,92.99,200.66,7.31,54,3.35,47,0.0,0,73,7.31
17,4,0,185.42,77.11,187.96,7.3,50,5.28,56,0.62,50,63,7.3
6,0,0,170.18,65.77,180.34,7.29,66,0.42,71,3.13,100,0,7.29
10,1,0,193.04,92.99,195.58,7.29,59,3.59,52,0.95,75,75,7.29
21,2,0,172.72,65.77,172.72,7.28,52,2.25,64,0.66,55,94,7.28
14,5,0,185.42,83.91,185.42,7.27,61,6.8,28,0.0,0,100,7.27
8,4,0,187.96,83.91,182.88,7.27,52,7.27,45,0.0,0,0,7.27
11,2,0,167.64,56.7,175.26,7.25,48,5.04,55,0.0,0,66,7.25
17,1,0,180.34,61.23,182.88,7.25,61,3.51,61,0.43,42,62,7.25
10,1,0,157.48,65.77,170.18,7.22,44,5.85,52,0.0,0,70,7.22
14,5,0,177.8,77.11,180.34,7.2,60,2.76,52,0.0,0,100,7.2
16,2,0,180.34,77.11,185.42,7.2,53,4.83,67,0.27,20,82,7.2
9,2,0,172.72,61.23,177.8,7.2,58,6.17,66,0.0,0,0,7.2
13,7,0,180.34,70.31,187.96,7.19,46,10.66,44,1.12,18,50,7.19
25,7,0,180.34,65.77,175.26,7.17,47,4.75,59,0.27,53,84,7.17
5,3,0,195.58,120.2,203.2,7.09,55,4.06,34,0.91,66,57,7.09
11,2,1,193.04,108.86,193.04,7.09,73,1.55,51,4.09,75,0,7.09
1,2,0,182.88,92.99,185.42,7.09,58,4.57,53,0.0,0,100,7.09
18,8,0,177.8,92.99,182.88,6.99,46,4.02,60,0.0,0,66,6.99
14,5,0,190.5,70.31,190.5,6.97,46,4.36,57,0.0,0,85,6.97
9,1,0,185.42,77.11,180.34,6.97,61,3.92,58,0.53,100,80,6.97
10,1,0,193.04,117.93,198.12,6.97,50,4.06,52,0.0,0,60,6.97
20,2,0,185.42,83.91,193.04,6.95,55,3.79,53,2.72,50,40,6.95
13,8,0,157.48,52.16,160.02,6.93,48,7.98,56,0.25,14,92,6.93
13,5,0,185.42,77.11,187.96,6.93,45,8.09,50,0.0,0,0,6.93
16,8,0,167.64,56.7,165.1,6.93,51,4.72,51,1.57,54,59,6.93
7,1,0,180.34,70.31,193.04,6.93,55,5.27,50,0.0,0,100,6.93
4,1,0,175.26,61.23,187.96,6.84,46,6.96,62,0.0,0,78,6.84
11,1,0,170.18,65.77,182.88,6.8,54,12.29,42,2.17,25,0,6.8
11,4,0,175.26,70.31,180.34,6.77,46,6.32,63,3.87,40,100,6.77
1,1,0,172.72,86.18,182.88,6.75,39,2.01,83,0.0,0,0,6.75
19,9,1,172.72,65.77,175.26,6.75,53,2.34,78,0.0,0,0,6.75
6,4,0,185.42,77.11,182.88,6.69,53,5.44,52,0.72,100,70,6.69
1,1,0,175.26,70.31,182.88,6.69,64,2.09,85,1.25,50,0,6.69
14,5,0,175.26,70.31,182.88,6.68,58,4.6,57,0.0,0,71,6.68
14,0,0,167.64,61.23,172.72,6.67,36,6.6,49,0.0,0,66,6.67
13,0,0,190.5,77.11,187.96,6.67,56,3.58,53,0.67,75,69,6.67
6,0,0,175.26,65.77,182.88,6.67,80,0.87,43,14.0,73,100,6.67
25,12,0,154.94,52.16,157.48,6.67,50,5.36,54,2.45,54,72,6.67
18,4,0,165.1,61.23,167.64,6.65,46,4.0,62,0.38,57,81,6.65
13,5,0,167.64,61.23,170.18,6.61,52,4.37,50,0.71,30,72,6.61
7,1,0,170.18,56.7,177.8,6.6,32,7.47,38,0.0,0,0,6.6
6,1,0,170.18,61.23,175.26,6.6,50,6.67,63,2.0,33,0,6.6
15,8,0,170.18,52.16,172.72,6.59,42,6.43,51,0.97,62,69,6.59
13,8,0,167.64,56.7,167.64,6.58,38,8.93,52,0.0,0,100,6.58
9,2,0,170.18,70.31,175.26,6.57,55,8.76,47,0.0,0,0,6.57
22,10,0,177.8,70.31,185.42,6.56,46,7.44,51,1.11,31,73,6.56
14,9,0,182.88,120.2,190.5,6.55,50,6.32,51,1.35,26,66,6.55
11,3,0,170.18,61.23,182.88,6.54,53,5.42,36,2.8,100,80,6.54
6,4,0,175.26,61.23,185.42,6.53,46,7.58,58,0.0,0,50,6.53
2,4,0,177.8,77.11,182.88,6.51,50,8.84,36,0.0,0,0,6.51
14,2,0,185.42,83.91,182.88,6.5,60,6.38,47,0.53,75,79,6.5
6,0,0,193.04,83.91,195.58,6.49,61,8.92,31,0.0,0,0,6.49
7,1,0,182.88,70.31,175.26,6.48,46,5.61,51,0.82,18,63,6.48
11,0,0,172.72,56.7,175.26,6.47,80,0.4,50,4.04,50,0,6.47
5,2,0,180.34,116.57,182.88,6.46,48,11.54,32,0.0,0,100,6.46
8,1,0,195.58,77.11,195.58,6.45,45,3.95,61,0.78,50,77,6.45
14,3,0,185.42,108.86,195.58,6.37,57,2.33,57,5.13,45,85,6.37
6,7,0,187.96,108.41,182.88,6.37,35,8.54,52,0.0,0,0,6.37
5,2,0,185.42,92.99,182.88,6.35,64,2.31,55,17.31,66,0,6.35
7,3,0,193.04,77.11,200.66,6.33,41,7.2,51,0.0,0,20,6.33
6,3,1,185.42,83.91,182.88,6.33,44,7.53,51,2.0,16,50,6.33
7,3,0,190.5,77.11,190.5,6.33,60,4.09,47,3.96,50,0,6.33
7,4,0,170.18,61.23,182.88,6.33,51,5.93,57,0.0,0,42,6.33
7,2,0,193.04,77.11,187.96,6.33,52,8.18,32,1.46,50,0,6.33
10,3,0,177.8,77.11,187.96,6.32,46,6.88,51,2.25,45,100,6.32
10,2,0,182.88,83.91,187.96,6.32,50,10.11,38,0.0,0,0,6.32
11,5,0,177.8,77.11,185.42,6.28,45,6.95,47,0.83,50,53,6.28
16,5,0,167.64,52.16,165.1,6.28,48,3.25,62,0.27,62,80,6.28
20,9,1,180.34,70.31,182.88,6.27,49,6.87,43,2.0,20,0,6.27
10,1,0,160.02,52.16,162.56,6.26,41,4.87,54,0.0,0,100,6.26
17,3,0,177.8,65.77,177.8,6.23,63,6.7,53,1.5,30,92,6.23
5,2,0,165.1,52.16,182.88,6.23,31,7.77,55,0.0,0,0,6.23
28,12,0,185.42,65.77,187.96,6.22,48,6.35,47,1.66,46,61,6.22
27,15,1,175.26,77.11,182.88,6.21,40,3.79,59,0.0,0,0,6.21
10,12,0,193.04,110.22,182.88,6.19,69,7.91,37,2.58,100,50,6.19
26,3,0,167.64,65.77,180.34,6.19,57,3.42,58,1.84,37,70,6.19
12,3,0,157.48,52.16,160.02,6.19,52,5.11,62,0.62,100,42,6.19
15,5,0,172.72,70.31,172.72,6.18,57,4.96,52,0.21,50,65,6.18
12,1,0,177.8,70.31,175.26,6.16,52,3.4,52,0.95,66,60,6.16
16,5,0,170.18,61.23,177.8,6.15,39,5.73,57,0.0,0,100,6.15
31,14,1,177.8,70.31,180.34,6.15,52,3.66,62,1.21,37,74,6.15
10,4,0,198.12,83.91,193.04,6.15,29,10.0,43,0.0,0,0,6.15
17,5,0,175.26,65.77,182.88,6.14,46,5.58,55,1.07,41,86,6.14
8,3,0,172.72,61.23,177.8,6.14,42,6.38,40,3.54,25,0,6.14
18,7,0,182.88,65.77,185.42,6.11,52,4.41,47,0.89,46,56,6.11
14,4,0,182.88,65.77,180.34,6.11,55,3.66,55,5.74,56,59,6.11
9,4,0,170.18,56.7,177.8,6.1,43,4.35,57,0.65,80,59,6.1
