name,nickname,wins,losses,draws,height_cm,weight_kg,reach_in_cm,stance,date_of_birth,sig_strikes_landed_min,sig_strike_acc,sig_strikes_absorbed_min,sig_strike_def,avg_takedowns_landed_15_min,takedown_acc,takedown_def,avg_sub_attempt_15_min
Adam Antolin,Captain Chaos,12,3,0,165.1,56.7,160.02,Orthodox,28/02/1982,5.73,52,5,69,0,0,100,5.73
Nasrat Haqparast,,15,5,0,177.8,70.31,182.88,Southpaw,22/08/1995,5.73,44,5.26,64,0.32,20,78,5.73
Ottman Azaitar,Bulldozer,13,2,0,172.72,70.31,180.34,Switch,20/02/1990,5.73,51,4.96,48,0,0,100,5.73
Khamzat Chimaev,Borz,13,0,0,187.96,83.91,190.5,Orthodox,01/05/1994,5.72,58,3.46,42,3.99,46,100,5.72
Sodiq Yusuff,Super,13,3,0,175.26,65.77,180.34,Orthodox,19/05/1993,5.72,49,4.33,54,0.28,20,62,5.72
Daniel Weichel,The Weasel,39,9,0,177.8,65.77,177.8,,,5.71,42,4.05,61,0.84,50,83,5.71
Nick Diaz,,26,10,0,185.42,77.11,193.04,Southpaw,02/08/1983,5.71,42,3.84,59,1.28,32,60,5.71
Rob Font,,20,7,0,172.72,61.23,180.34,Orthodox,25/06/1987,5.71,45,3.7,57,0.96,37,46,5.71
Charles Jourdain,Air,15,6,1,175.26,65.77,175.26,Switch,27/11/1995,5.71,49,4.21,58,0.1,16,47,5.71
Lucasz Sudolski,,8,1,0,193.04,92.99,190.5,Orthodox,15/06/1993,5.7,67,4.89,28,0,0,100,5.7
Molly McCann,Meatball,13,6,0,162.56,56.7,157.48,Orthodox,04/05/1990,5.68,49,4.9,63,1.65,35,43,5.68
Angel De Anda,The Dream,18,6,0,175.26,102.06,,Orthodox,28/05/1985,5.68,46,6.32,47,0,0,0,5.68
Taneisha Tennant,Triple Threat,5,1,0,170.18,65.77,177.8,Orthodox,15/06/1989,5.67,55,3.4,71,0,0,100,5.67
Alan Jouban,Brahma,17,7,0,182.88,77.11,185.42,Southpaw,25/11/1981,5.67,50,3.77,60,0.51,44,58,5.67
Javid Basharat,The Snow Leopard,14,0,0,175.26,61.23,175.26,Orthodox,07/09/1995,5.65,61,2.5,63,2.09,50,85,5.65
Lara Procopio,,7,2,0,162.56,56.7,170.18,Orthodox,14/11/1995,5.64,58,6.5,47,3.15,47,50,5.64
Martin Buday,Badys,13,1,0,193.04,120.2,195.58,Orthodox,11/11/1991,5.62,52,5.4,55,0.3,50,100,5.62
Eduarda Moura,Ronda,10,0,0,167.64,52.16,167.64,Orthodox,28/02/1994,5.61,67,0.45,80,5.34,100,0,5.61
Mason Jones,Dragon,11,2,0,177.8,70.31,187.96,Orthodox,26/04/1995,5.61,44,4.94,46,3.16,45,80,5.61
Cody Donovan,Donnybrook,8,5,0,190.5,92.99,187.96,Orthodox,20/02/1981,5.61,59,5.44,45,1.67,28,0,5.61
Chibwikem Onyenegecha,,5,0,0,190.5,83.91,,Orthodox,18/04/1994,5.6,55,3.4,52,0,0,100,5.6
Nicco Montano,,5,3,0,165.1,61.23,165.1,Southpaw,16/12/1988,5.6,41,4.43,64,2.25,54,69,5.6
Kevin Syler,El Nino Bala,10,1,0,175.26,70.31,180.34,Switch,29/07/1993,5.6,69,4.03,48,1,40,77,5.6
Rongzhu,,24,5,0,175.26,70.31,182.88,Orthodox,07/03/2000,5.6,50,6.36,45,2.56,62,87,5.6
Bas Rutten,El Guapo,28,4,1,185.42,92.99,,Orthodox,24/02/1965,5.59,61,2.06,79,0,0,0,5.59
